CustomerID	ProductID	Total
11000	344	1912.1544
11000	353	1265.6195
11000	485	8.2205
11000	573	1481.9379
11000	541	10.8423
11000	530	1.8663
11000	214	13.0863
11000	488	41.5723
11001	350	1898.0944
11001	353	1265.6195
11001	485	8.2205
11001	477	1.8663
11001	478	3.7363
11001	491	41.5723
11001	225	6.9223
11001	604	343.6496
11001	477	1.8663
11001	479	3.3623
11001	217	13.0863
11002	346	1912.1544
11002	359	1251.9813
11002	561	1481.9379
11002	222	13.0863
11003	346	1912.1544
11003	361	1251.9813
11003	478	3.7363
11003	477	1.8663
11003	225	6.9223
11003	564	1481.9379
11003	541	10.8423
11003	530	1.8663
11003	480	0.8565
11004	345	1912.1544
11004	355	1265.6195
11004	485	8.2205
11004	214	13.0863
11004	562	1481.9379
11004	217	13.0863
