order_id,order_date,order_customer_id,order_status
43697,2005-07-01 00:00:00,21768,Closed
43698,2005-07-01 00:00:00,28389,Closed
43699,2005-07-01 00:00:00,25863,Closed
43700,2005-07-01 00:00:00,14501,Closed
43701,2005-07-01 00:00:00,11003,Closed
43702,2005-07-02 00:00:00,27645,Closed
43703,2005-07-02 00:00:00,16624,Closed
43704,2005-07-02 00:00:00,11005,Closed
43705,2005-07-02 00:00:00,11011,Closed
43706,2005-07-03 00:00:00,27621,Closed
43707,2005-07-03 00:00:00,27616,Closed
43708,2005-07-03 00:00:00,20042,Closed
43709,2005-07-03 00:00:00,16351,Closed
43710,2005-07-03 00:00:00,16517,Closed
43711,2005-07-04 00:00:00,27606,Closed
43712,2005-07-04 00:00:00,13513,Closed
43713,2005-07-05 00:00:00,27601,Closed
43714,2005-07-05 00:00:00,13591,Closed
43715,2005-07-05 00:00:00,16483,Closed
43716,2005-07-05 00:00:00,16529,Closed
43717,2005-07-05 00:00:00,25249,Closed
43718,2005-07-06 00:00:00,27668,Closed
43719,2005-07-06 00:00:00,27612,Closed
43720,2005-07-06 00:00:00,13264,Closed
43721,2005-07-06 00:00:00,13590,Closed
43722,2005-07-07 00:00:00,13581,Closed
43723,2005-07-07 00:00:00,14520,Closed
43724,2005-07-07 00:00:00,16520,Closed
43725,2005-07-08 00:00:00,13258,Closed
43726,2005-07-08 00:00:00,14560,Closed
43727,2005-07-08 00:00:00,16607,Closed
43728,2005-07-09 00:00:00,27666,Closed
43729,2005-07-09 00:00:00,11238,Closed
43730,2005-07-09 00:00:00,25861,Closed
43731,2005-07-09 00:00:00,16629,Closed
43732,2005-07-09 00:00:00,11025,Closed
43733,2005-07-09 00:00:00,27577,Closed
43734,2005-07-10 00:00:00,27604,Closed
43735,2005-07-10 00:00:00,16522,Closed
43736,2005-07-10 00:00:00,11002,Closed
43737,2005-07-11 00:00:00,13261,Closed
43738,2005-07-11 00:00:00,11606,Closed
43739,2005-07-11 00:00:00,13563,Closed
43740,2005-07-11 00:00:00,16527,Closed
43741,2005-07-12 00:00:00,27671,Closed
43742,2005-07-12 00:00:00,13576,Closed
43743,2005-07-12 00:00:00,11007,Closed
43744,2005-07-12 00:00:00,16631,Closed
43745,2005-07-13 00:00:00,16514,Closed
43746,2005-07-13 00:00:00,16616,Closed
43747,2005-07-14 00:00:00,27623,Closed
43748,2005-07-14 00:00:00,27625,Closed
43749,2005-07-14 00:00:00,27636,Closed
43750,2005-07-14 00:00:00,11591,Closed
43751,2005-07-14 00:00:00,11592,Closed
43752,2005-07-14 00:00:00,13265,Closed
43753,2005-07-14 00:00:00,16482,Closed
43754,2005-07-15 00:00:00,27617,Closed
43755,2005-07-15 00:00:00,27670,Closed
43756,2005-07-15 00:00:00,19941,Closed
43757,2005-07-15 00:00:00,11017,Closed
43758,2005-07-16 00:00:00,27646,Closed
43759,2005-07-16 00:00:00,13257,Closed
43760,2005-07-16 00:00:00,16352,Closed
43761,2005-07-16 00:00:00,16493,Closed
43762,2005-07-17 00:00:00,27578,Closed
43763,2005-07-17 00:00:00,16525,Closed
43764,2005-07-17 00:00:00,16612,Closed
43765,2005-07-17 00:00:00,11010,Closed
43766,2005-07-18 00:00:00,16518,Closed
43767,2005-07-18 00:00:00,11001,Closed
43768,2005-07-19 00:00:00,27649,Closed
43769,2005-07-19 00:00:00,21659,Closed
43770,2005-07-19 00:00:00,27614,Closed
43771,2005-07-19 00:00:00,14559,Closed
43772,2005-07-19 00:00:00,16524,Closed
43773,2005-07-19 00:00:00,16526,Closed
43774,2005-07-19 00:00:00,16348,Closed
43775,2005-07-19 00:00:00,11027,Closed
43776,2005-07-20 00:00:00,13260,Closed
43777,2005-07-20 00:00:00,16515,Closed
43778,2005-07-20 00:00:00,11018,Closed
43779,2005-07-20 00:00:00,25252,Closed
43780,2005-07-21 00:00:00,11599,Closed
43781,2005-07-21 00:00:00,16495,Closed
43782,2005-07-21 00:00:00,16516,Closed
43783,2005-07-21 00:00:00,16620,Closed
43784,2005-07-22 00:00:00,27667,Closed
43785,2005-07-22 00:00:00,11601,Closed
43786,2005-07-22 00:00:00,11607,Closed
43787,2005-07-22 00:00:00,29385,Closed
43788,2005-07-22 00:00:00,11239,Closed
43789,2005-07-22 00:00:00,25865,Closed
43790,2005-07-22 00:00:00,25857,Closed
43791,2005-07-22 00:00:00,16484,Closed
43792,2005-07-22 00:00:00,16623,Closed
43793,2005-07-22 00:00:00,11000,Closed
43794,2005-07-22 00:00:00,11029,Closed
43795,2005-07-23 00:00:00,27615,Closed
43796,2005-07-23 00:00:00,17956,Closed
43797,2005-07-23 00:00:00,16345,Closed
43798,2005-07-23 00:00:00,16521,Closed
43799,2005-07-23 00:00:00,16636,Closed
43800,2005-07-24 00:00:00,21710,Closed
43801,2005-07-24 00:00:00,13583,Closed
43802,2005-07-24 00:00:00,11593,Closed
43803,2005-07-25 00:00:00,21741,Closed
43804,2005-07-25 00:00:00,13585,Closed
43805,2005-07-25 00:00:00,14510,Closed
43806,2005-07-25 00:00:00,16523,Closed
43807,2005-07-26 00:00:00,11611,Closed
