order_item_id,order_item_order_id,order_item_product_id,order_item_quantity,order_item_subtotal,order_item_product_price
1,43697,310,1,3578.27,3578.27
2,43698,346,1,3399.9899999999998,3399.9899999999998
3,43699,346,1,3399.9899999999998,3399.9899999999998
4,43700,336,1,699.09820000000002,699.09820000000002
5,43701,346,1,3399.9899999999998,3399.9899999999998
6,43702,311,1,3578.27,3578.27
7,43703,310,1,3578.27,3578.27
8,43704,351,1,3374.9899999999998,3374.9899999999998
9,43705,344,1,3399.9899999999998,3399.9899999999998
10,43706,312,1,3578.27,3578.27
11,43707,312,1,3578.27,3578.27
12,43708,330,1,699.09820000000002,699.09820000000002
13,43709,313,1,3578.27,3578.27
14,43710,314,1,3578.27,3578.27
15,43711,314,1,3578.27,3578.27
16,43712,311,1,3578.27,3578.27
17,43713,310,1,3578.27,3578.27
18,43714,311,1,3578.27,3578.27
19,43715,314,1,3578.27,3578.27
20,43716,311,1,3578.27,3578.27
21,43717,336,1,699.09820000000002,699.09820000000002
22,43718,311,1,3578.27,3578.27
23,43719,312,1,3578.27,3578.27
24,43720,311,1,3578.27,3578.27
25,43721,310,1,3578.27,3578.27
26,43722,312,1,3578.27,3578.27
27,43723,332,1,699.09820000000002,699.09820000000002
28,43724,311,1,3578.27,3578.27
29,43725,311,1,3578.27,3578.27
30,43726,332,1,699.09820000000002,699.09820000000002
31,43727,311,1,3578.27,3578.27
32,43728,313,1,3578.27,3578.27
33,43729,346,1,3399.9899999999998,3399.9899999999998
34,43730,346,1,3399.9899999999998,3399.9899999999998
35,43731,314,1,3578.27,3578.27
36,43732,350,1,3374.9899999999998,3374.9899999999998
37,43733,312,1,3578.27,3578.27
38,43734,312,1,3578.27,3578.27
39,43735,310,1,3578.27,3578.27
40,43736,346,1,3399.9899999999998,3399.9899999999998
41,43737,311,1,3578.27,3578.27
42,43738,312,1,3578.27,3578.27
43,43739,310,1,3578.27,3578.27
44,43740,312,1,3578.27,3578.27
45,43741,310,1,3578.27,3578.27
46,43742,314,1,3578.27,3578.27
47,43743,347,1,3399.9899999999998,3399.9899999999998
48,43744,313,1,3578.27,3578.27
49,43745,311,1,3578.27,3578.27
50,43746,312,1,3578.27,3578.27
51,43747,314,1,3578.27,3578.27
52,43748,313,1,3578.27,3578.27
53,43749,314,1,3578.27,3578.27
54,43750,311,1,3578.27,3578.27
55,43751,313,1,3578.27,3578.27
56,43752,311,1,3578.27,3578.27
57,43753,310,1,3578.27,3578.27
58,43754,312,1,3578.27,3578.27
59,43755,311,1,3578.27,3578.27
60,43756,332,1,699.09820000000002,699.09820000000002
61,43757,350,1,3374.9899999999998,3374.9899999999998
62,43758,310,1,3578.27,3578.27
63,43759,310,1,3578.27,3578.27
64,43760,314,1,3578.27,3578.27
65,43761,310,1,3578.27,3578.27
66,43762,314,1,3578.27,3578.27
67,43763,313,1,3578.27,3578.27
68,43764,310,1,3578.27,3578.27
69,43765,346,1,3399.9899999999998,3399.9899999999998
70,43766,313,1,3578.27,3578.27
71,43767,350,1,3374.9899999999998,3374.9899999999998
72,43768,312,1,3578.27,3578.27
73,43769,312,1,3578.27,3578.27
74,43770,312,1,3578.27,3578.27
75,43771,330,1,699.09820000000002,699.09820000000002
76,43772,312,1,3578.27,3578.27
77,43773,314,1,3578.27,3578.27
78,43774,313,1,3578.27,3578.27
79,43775,347,1,3399.9899999999998,3399.9899999999998
80,43776,314,1,3578.27,3578.27
81,43777,311,1,3578.27,3578.27
82,43778,345,1,3399.9899999999998,3399.9899999999998
83,43779,326,1,699.09820000000002,699.09820000000002
84,43780,311,1,3578.27,3578.27
85,43781,312,1,3578.27,3578.27
86,43782,312,1,3578.27,3578.27
87,43783,312,1,3578.27,3578.27
88,43784,310,1,3578.27,3578.27
89,43785,311,1,3578.27,3578.27
90,43786,311,1,3578.27,3578.27
91,43787,344,1,3399.9899999999998,3399.9899999999998
92,43788,351,1,3374.9899999999998,3374.9899999999998
93,43789,351,1,3374.9899999999998,3374.9899999999998
94,43790,344,1,3399.9899999999998,3399.9899999999998
95,43791,314,1,3578.27,3578.27
96,43792,312,1,3578.27,3578.27
97,43793,344,1,3399.9899999999998,3399.9899999999998
98,43794,347,1,3399.9899999999998,3399.9899999999998
99,43795,312,1,3578.27,3578.27
100,43796,342,1,699.09820000000002,699.09820000000002
101,43797,312,1,3578.27,3578.27
102,43798,310,1,3578.27,3578.27
103,43799,312,1,3578.27,3578.27
104,43800,311,1,3578.27,3578.27
105,43801,311,1,3578.27,3578.27
106,43802,312,1,3578.27,3578.27
107,43803,314,1,3578.27,3578.27
108,43804,310,1,3578.27,3578.27
109,43805,328,1,699.09820000000002,699.09820000000002
110,43806,312,1,3578.27,3578.27
111,43807,312,1,3578.27,3578.27
112,43808,313,1,3578.27,3578.27
113,43809,310,1,3578.27,3578.27
114,43810,345,1,3399.9899999999998,3399.9899999999998
115,43811,346,1,3399.9899999999998,3399.9899999999998
116,43812,312,1,3578.27,3578.27
117,43813,350,1,3374.9899999999998,3374.9899999999998
118,43814,350,1,3374.9899999999998,3374.9899999999998
119,43815,311,1,3578.27,3578.27
120,43816,314,1,3578.27,3578.27
121,43817,310,1,3578.27,3578.27
122,43818,312,1,3578.27,3578.27
123,43819,346,1,3399.9899999999998,3399.9899999999998
124,43820,312,1,3578.27,3578.27
125,43821,310,1,3578.27,3578.27
126,43822,313,1,3578.27,3578.27
127,43823,342,1,699.09820000000002,699.09820000000002
128,43824,338,1,699.09820000000002,699.09820000000002
129,43825,313,1,3578.27,3578.27
130,43826,348,1,3374.9899999999998,3374.9899999999998
131,43827,338,1,699.09820000000002,699.09820000000002
132,43828,310,1,3578.27,3578.27
133,43829,310,1,3578.27,3578.27
134,43830,311,1,3578.27,3578.27
135,43831,349,1,3374.9899999999998,3374.9899999999998
136,43832,310,1,3578.27,3578.27
137,43833,310,1,3578.27,3578.27
138,43834,348,1,3374.9899999999998,3374.9899999999998
139,43835,348,1,3374.9899999999998,3374.9899999999998
140,43836,324,1,699.09820000000002,699.09820000000002
141,43837,350,1,3374.9899999999998,3374.9899999999998
142,43838,313,1,3578.27,3578.27
143,43839,311,1,3578.27,3578.27
144,43840,326,1,699.09820000000002,699.09820000000002
145,43841,314,1,3578.27,3578.27
146,43842,312,1,3578.27,3578.27
147,43918,313,1,3578.27,3578.27
148,43919,314,1,3578.27,3578.27
149,43920,313,1,3578.27,3578.27
150,43921,313,1,3578.27,3578.27
151,43922,310,1,3578.27,3578.27
152,43923,312,1,3578.27,3578.27
153,43924,310,1,3578.27,3578.27
154,43925,314,1,3578.27,3578.27
155,43926,351,1,3374.9899999999998,3374.9899999999998
156,43927,314,1,3578.27,3578.27
157,43928,313,1,3578.27,3578.27
158,43929,322,1,699.09820000000002,699.09820000000002
159,43930,312,1,3578.27,3578.27
160,43931,313,1,3578.27,3578.27
161,43932,314,1,3578.27,3578.27
162,43933,347,1,3399.9899999999998,3399.9899999999998
163,43934,346,1,3399.9899999999998,3399.9899999999998
164,43935,334,1,699.09820000000002,699.09820000000002
165,43936,311,1,3578.27,3578.27
166,43937,312,1,3578.27,3578.27
167,43938,310,1,3578.27,3578.27
168,43939,312,1,3578.27,3578.27
169,43940,336,1,699.09820000000002,699.09820000000002
170,43941,314,1,3578.27,3578.27
171,43942,310,1,3578.27,3578.27
172,43943,338,1,699.09820000000002,699.09820000000002
173,43944,344,1,3399.9899999999998,3399.9899999999998
174,43945,310,1,3578.27,3578.27
175,43946,313,1,3578.27,3578.27
176,43947,310,1,3578.27,3578.27
177,43948,345,1,3399.9899999999998,3399.9899999999998
178,43949,310,1,3578.27,3578.27
179,43950,311,1,3578.27,3578.27
180,43951,311,1,3578.27,3578.27
181,43952,312,1,3578.27,3578.27
182,43953,342,1,699.09820000000002,699.09820000000002
183,43954,311,1,3578.27,3578.27
184,43955,314,1,3578.27,3578.27
185,43956,344,1,3399.9899999999998,3399.9899999999998
186,43957,313,1,3578.27,3578.27
187,43958,312,1,3578.27,3578.27
188,43959,348,1,3374.9899999999998,3374.9899999999998
189,43960,349,1,3374.9899999999998,3374.9899999999998
190,43961,311,1,3578.27,3578.27
191,43962,312,1,3578.27,3578.27
192,43963,314,1,3578.27,3578.27
193,43964,312,1,3578.27,3578.27
194,43965,351,1,3374.9899999999998,3374.9899999999998
195,43966,347,1,3399.9899999999998,3399.9899999999998
196,43967,313,1,3578.27,3578.27
197,43968,313,1,3578.27,3578.27
198,43969,310,1,3578.27,3578.27
199,43970,311,1,3578.27,3578.27
200,43971,314,1,3578.27,3578.27
201,43972,314,1,3578.27,3578.27
202,43973,312,1,3578.27,3578.27
203,43974,312,1,3578.27,3578.27
204,43975,312,1,3578.27,3578.27
205,43976,310,1,3578.27,3578.27
206,43977,312,1,3578.27,3578.27
207,43978,310,1,3578.27,3578.27
208,43979,322,1,699.09820000000002,699.09820000000002
209,43980,351,1,3374.9899999999998,3374.9899999999998
210,43981,314,1,3578.27,3578.27
211,43982,342,1,699.09820000000002,699.09820000000002
212,43983,314,1,3578.27,3578.27
213,43984,311,1,3578.27,3578.27
214,43985,313,1,3578.27,3578.27
215,43986,310,1,3578.27,3578.27
216,43987,310,1,3578.27,3578.27
217,43988,344,1,3399.9899999999998,3399.9899999999998
218,43989,312,1,3578.27,3578.27
219,43990,344,1,3399.9899999999998,3399.9899999999998
220,43991,310,1,3578.27,3578.27
221,43992,311,1,3578.27,3578.27
222,43993,314,1,3578.27,3578.27
223,43994,314,1,3578.27,3578.27
224,43995,312,1,3578.27,3578.27
225,43996,310,1,3578.27,3578.27
226,43997,310,1,3578.27,3578.27
227,43998,348,1,3374.9899999999998,3374.9899999999998
228,43999,311,1,3578.27,3578.27
229,44000,311,1,3578.27,3578.27
230,44001,313,1,3578.27,3578.27
231,44002,336,1,699.09820000000002,699.09820000000002
232,44003,342,1,699.09820000000002,699.09820000000002
233,44004,310,1,3578.27,3578.27
234,44005,334,1,699.09820000000002,699.09820000000002
235,44006,310,1,3578.27,3578.27
236,44007,320,1,699.09820000000002,699.09820000000002
237,44008,312,1,3578.27,3578.27
238,44009,314,1,3578.27,3578.27
239,44010,310,1,3578.27,3578.27
240,44011,310,1,3578.27,3578.27
